msg_id,first_node_process_time,last_node_process_time
1 50,0.006784915924072266, 0.008956193923950195
1 51,0.005347251892089844, 0.006903409957885742
1 52,0.007475614547729492, 0.010529041290283203
1 53,0.008306264877319336, 0.010228872299194336
1 54,0.007638216018676758, 0.010129928588867188
2 56,0.008975982666015625, 0.010390996932983398
2 57,0.007931232452392578, 0.009162664413452148
2 58,0.00815582275390625, 0.010345220565795898
2 59,0.004715442657470703, 0.006442070007324219
1 55,0.009277582168579102, 0.011941194534301758
1 56,0.0026924610137939453, 0.0032181739807128906
2 60,0.0028798580169677734, 0.003584623336791992
2 61,0.007323026657104492, 0.00919198989868164
2 62,0.007365703582763672, 0.008615493774414062
2 63,0.006697177886962891, 0.008771896362304688
2 64,0.005075931549072266, 0.006873607635498047
2 65,0.0026311874389648438, 0.0034513473510742188
2 66,0.0025644302368164062, 0.0032122135162353516
1 57,0.0038042068481445312, 0.005392313003540039
2 67,0.008227109909057617, 0.010691642761230469
1 58,0.0018253326416015625, 0.0024526119232177734
2 68,0.0019412040710449219, 0.002191305160522461
2 69,0.002052783966064453, 0.002965688705444336
1 59,0.007604360580444336, 0.00920557975769043
2 70,0.0068662166595458984, 0.009130716323852539
1 60,0.007207393646240234, 0.008807897567749023
2 71,0.006811618804931641, 0.008380889892578125
2 72,0.005899906158447266, 0.008129358291625977
2 73,0.007555246353149414, 0.009351015090942383
1 61,0.007167339324951172, 0.008527278900146484
2 74,0.0021610260009765625, 0.002645730972290039
2 75,0.009081363677978516, 0.012608051300048828
2 76,0.005052804946899414, 0.006021022796630859
2 77,0.0048465728759765625, 0.006577968597412109
1 62,0.0019540786743164062, 0.0024003982543945312
2 78,0.008638858795166016, 0.010426044464111328
2 79,0.0071887969970703125, 0.009163141250610352
2 80,0.0066738128662109375, 0.008894681930541992
1 63,0.0062296390533447266, 0.0075414180755615234
1 64,0.006413459777832031, 0.008838415145874023
2 81,0.006789684295654297, 0.00945281982421875
1 65,0.007001161575317383, 0.00882411003112793
1 66,0.006377696990966797, 0.007551670074462891
2 82,0.007846593856811523, 0.009422779083251953
1 67,0.007315397262573242, 0.008788824081420898
1 68,0.003106355667114258, 0.00426030158996582
1 69,0.0023331642150878906, 0.0026264190673828125
2 83,0.005271196365356445, 0.007063627243041992
2 84,0.007894515991210938, 0.009241580963134766
2 85,0.007054567337036133, 0.010201692581176758
1 70,0.002476215362548828, 0.0029430389404296875
1 71,0.011914968490600586, 0.01412653923034668
